index,0,1,2,3,4,5
0,,,,,,
1,"2 - D'HAENE François
TEAM SALOMON INTERNATIONAL",SEH,1,20:11:44,00:00:00,Francia
2,"5 - KARRERA ARANBURU Iker
SALOMON INTERNACIONAL",V1H,1,20:55:42,00:43:58,España
3,"8 - CASTANER BERNAT Tofol
SALOMON INT.",V1H,1,20:55:42,00:43:58,España
4,18 - SCHLARB Jason,SEH,2,21:39:44,01:28:00,Estados Unidos
5,"21 - GRINIUS Gediminas
INOV8",SEH,3,21:50:04,01:38:20,Lituania
6,29 - TUCKEY Andrew,SEH,4,22:40:26,02:28:42,Australia
7,"64 - AMDAHL Sondre
ROMERIKE ULTRALOPERKLUBB",V1H,3,22:42:37,02:30:53,Noruega
8,"27 - SA Carlos
DESNIVEL POSITIVO",V1H,4,22:50:07,02:38:23,Portugal
9,"75 - COLLOMB-PATTON Bertrand
CAEN ATHLETIC CLUB",SEH,5,22:51:54,02:40:10,Francia
10,"158 - BROGNIART Stéphane
THE NORTH FACE",SEH,6,22:57:05,02:45:21,Francia
11,"96 - PAZOS Diego
PLANET ENDURANCE",SEH,7,23:11:05,02:59:21,Suiza
12,"71 - MENDES DA SILVA Nuno Manuel
BERG OUTDOOR TEAM",SEH,8,23:11:17,02:59:33,Portugal
13,"161 - IRAIZOZ Aitor
SPORT-HG",SEH,9,23:18:01,03:06:17,España
14,"1 - BOSIO Rory
THE NORTH FACE",SEF,1,23:23:20,03:11:36,Estados Unidos
15,39 - HEIDT Aaron,SEH,10,23:43:58,03:32:14,Canadá
16,51 - TIDD John,V2H,1,23:44:00,03:32:16,España
17,"69 - PETITJEAN Clément
TEAM ASICS",SEH,11,23:45:34,03:33:50,Francia
18,"49 - TSANG Siu Keung
THE NORTH FACE",SEH,12,23:52:03,03:40:19,HK
19,"33 - RUSIECKI Brian
PATAGONIA",SEH,13,23:52:46,03:41:02,Estados Unidos
20,"57 - BRAGG Jez
THE NORTH FACE",SEH,14,24:14:17,04:02:33,Reino Unido
21,"52 - GERONAZZO Ivan
MONTURA",V1H,5,24:16:46,04:05:02,Italia
22,"13 - DOMINGUEZ LEDO Javier
VIBRAM TEAM",V1H,6,24:26:17,04:14:33,España
23,"63 - OSE Kazufumi
TEAM TARZAN",SEH,15,24:31:45,04:20:01,Japón
24,"156 - BERNAD BLASCO Victor
MERIDIANO CERO",SEH,16,24:33:28,04:21:44,España
25,91 - LE SAUX Christophe,V1H,7,24:38:01,04:26:17,Francia
26,"26 - CLAVERY Erik
TEAM ADIDAS",SEH,17,24:38:04,04:26:20,Francia
27,"108 - JAMES Andrew
SALOMON / NEWBURY AC",SEH,18,24:45:27,04:33:43,Reino Unido
28,"140 - FAGERLUND Fritjof
RANAS 4H",V1H,8,24:53:54,04:42:10,Finlandia
29,"10 - PICAS Núria
BUFF PRO TEAM",SEF,2,24:54:29,04:42:45,España
30,"56 - INSAM Christian
Alpstation Trail Team",SEH,19,25:05:56,04:54:12,Italia
31,"194 - GRIMSTRUP Simon
SOK MULTISPORT",SEH,20,25:07:25,04:55:41,Dinamarca
32,"47 - QUERAL IBANEZ Remi
RACE LAND",SEH,21,25:17:03,05:05:19,España
33,"154 - HENRI Sebastien
TNF SAINT MAXIMIN ATHLETIC CLUB",SEH,22,25:21:39,05:09:55,Francia
34,204 - PIGOIS Thomas,SEH,23,25:24:22,05:12:38,Francia
35,"55 - REY Jean-Yves
SALOMON SUISSE",V1H,9,25:25:44,05:14:00,Suiza
36,1761 - ANDERSON Dan,SEH,24,25:40:13,05:28:29,Reino Unido
37,"88 - TRIVEL Damien
TEAM HOKA",V1H,10,25:41:55,05:30:11,Francia
38,152 - DROZ Gaël,SEH,25,25:41:55,05:30:11,Suiza
39,"95 - ANDERSEN Thomas
TEAM SALOMON NORWAY",V1H,11,25:46:23,05:34:39,Noruega
40,"2668 - MAUCLAIR Nathalie
FREERUN72",V1F,1,25:47:35,05:35:51,Francia
41,"127 - TRISCONI Stefano
TEAM DYNAFIT ITALIA",V1H,12,25:59:12,05:47:28,Italia
42,"24 - MACIEL Fernanda
THE NORTH FACE",SEF,3,26:05:47,05:54:03,Brasil
43,"253 - TAILLEBRESSE Guillaume
C.D TEAM EVASION RUNNING",SEH,26,26:16:44,06:05:00,Francia
44,"86 - DIOGO Leonardo
CUBE AVENTURA DA MADEIRA",V1H,13,26:18:09,06:06:25,Portugal
45,"40 - FRAILE AZPEITIA Uxue
TEAM VIBRAM",V1F,2,26:22:19,06:10:35,España
46,"82 - OBARA Masatoshi
inov-8",SEH,27,26:22:29,06:10:45,Japón
47,11 - KRUPICKA Anton,SEH,28,26:30:15,06:18:31,Estados Unidos
48,"116 - CANETTA Filippo
TEAM SALOMON",V1H,14,26:33:47,06:22:03,Italia
49,"203 - MINARY Pierre
TEAM RAVANEL & CO SALOMON",SEH,29,26:39:46,06:28:02,Francia
50,45 - THEVENIN Freddy,SEH,30,26:39:47,06:28:03,Francia
51,17 - GORMAN Neal,SEH,31,26:40:48,06:29:04,Estados Unidos
52,"219 - USSON Samuel
VELAY ATHLETISME",SEH,32,26:42:44,06:31:00,Francia
53,"2202 - PETROPOULOS Nikolaos
OLYMPIOI",V1H,15,26:47:21,06:35:37,Grecia
54,43 - BRITTON Robert,SEH,33,26:48:36,06:36:52,Reino Unido
55,"126 - VALLOSIO Sergio
BERGTEAM SALOMON",V1H,16,26:50:57,06:39:13,Italia
56,1462 - CHRISTENSEN Jonas Borsøe,SEH,34,26:57:26,06:45:42,Dinamarca
57,"1373 - FALCO MAS Joan Marc
ALPINO BENALMADENA - IRONTRIATH",SEH,35,26:58:09,06:46:25,España
58,125 - HAYETINE Alexandre,SEH,36,27:19:44,07:08:00,Francia
59,"187 - HOARAU Jean-Hugo
TEAM MAXI-RACE / ASPTT ANNECY",SEH,37,27:25:59,07:14:15,Francia
60,"184 - STEIN Didier
AC CENTRE ALSACE",V1H,17,27:29:41,07:17:57,Francia
61,209 - FRAGNIERE Patrick,SEH,38,27:39:45,07:28:01,Suiza
62,"216 - BILLET Jean Marc
TRIAHLON CLUB EVIAN",SEH,39,27:41:32,07:29:48,Francia
